Chain,Chain ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge ,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF
COVENANT CARE,166,19,2,0,0,1,5.3,100,0,0,3.1,2.6,2.6,4.5,4,3.6,0.7,49.1,57.1,1.1,11,0.6,336101,17689.5,0,0,24.5,12.4,0.8,1.1,56.3,96,96.8,2.2,1.7,9.1,1.7,3.4,0.9,0.5,11,7.7,99.3,99.5,0,14.9,3.7,7.7,12.9,11.2
COVENANT HEALTH,167,11,5,0,0,0,0,0,100,0,3.2,3,4.3,2.8,4.2,3.9,1.2,41.6,33.9,0.2,14,1.3,325662,29605.6,2,0.2,26,14.1,2.1,2.1,46.3,75.9,73.6,1.7,1.6,17.9,3.9,3.6,2.1,0.6,25.8,20.3,96.6,92,0,28.4,5.8,2.5,19,10.8
COVENANT LIVING,168,15,10,0,0,1,6.7,0,100,0,4.3,4.1,4,3.6,4.2,3.8,0.9,34.4,28,0.6,3,0.2,71683,4778.9,1,0.1,24.8,13,1.1,2.6,53.8,88.3,93.3,1.5,1.3,10.5,3.9,5.7,2.5,0.9,23.1,20.3,94.3,97.3,0,24.2,5.5,2.3,10.9,10.6
CREATIVE SOLUTIONS IN HEALTHCARE,169,149,1,0,6,25,16.8,85.2,0,14.8,2.3,2.7,1.1,3.5,3.1,2.7,0.4,92.9,92.4,1.5,247,1.7,9051287,60746.9,20,0.1,26.8,14.2,1.4,3,55.5,96,94.2,2.2,2.2,8.9,3.7,4.5,0.7,0.2,15.8,17.9,99.7,98.9,0,15.2,2.6,2,14.3,11
CREST HEALTHCARE CONSULTING,170,13,1,0,0,4,30.8,100,0,0,1.9,2.4,1.3,2.8,3.2,2.8,0.5,51.1,43.8,0.7,32,2.5,1905952,146611.7,13,1,21.9,15.3,1.7,2.5,42.6,62.7,59.1,1.9,3.2,13,4.6,5.1,1.5,0.6,14.6,12.8,86.5,81.2,0.2,27.7,9,65.1,25,11.1
CROSSROADS MEDICAL MANAGEMENT,172,6,1,0,0,0,0,100,0,0,2.8,3,3.3,2.7,3.8,3.4,0.6,49.3,36.2,0.2,8,1.3,114541,19090.2,1,0.2,25.8,11.1,1.7,3.5,46.8,94.7,97.9,2.1,2,13.6,4.2,4.7,3.2,1.2,18.6,16.4,99.2,99.7,0,17.7,6.4,3.6,22.1,11.9
CROWN HEALTHCARE GROUP,173,9,1,0,0,1,11.1,100,0,0,1.8,2.3,1,4.1,3.1,2.9,0.5,51.9,60,1,4,0.4,334293,37143.7,2,0.2,25,13.9,1.4,3.1,54.1,74,86.9,1.5,2,13.2,2.1,3.4,0.2,0.1,6.6,4.7,86.9,95.8,0,23.2,7.7,49.6,27.7,10.6
CROWNE HEALTH CARE,174,18,1,0,0,1,5.6,94.4,5.6,0,4.2,3.8,4.4,2.9,4.5,3.6,0.7,38.6,28.4,0.1,1,0.1,42884,2382.4,1,0.1,23,10.5,2.4,2.4,51.1,79.2,82.4,1.9,2.1,24,2.8,5.7,4.5,2.2,15.9,14.1,91.5,95.7,0.2,10.1,6.1,0.5,23,10.6
CYPRESS HEALTHCARE GROUP,175,13,1,0,0,2,15.4,100,0,0,3.5,2.8,3.8,4.5,4.4,3.9,0.6,38.6,37,0.1,8,0.6,47682,3667.8,0,0,22.1,15.8,0.9,1.9,63.3,97,98.5,1.9,1.6,8,1.3,4.4,0.6,0.4,10.2,5.7,98.8,100,0,10.5,3.4,2.3,9.5,10.9
CYPRESS SKILLED NURSING,176,7,1,0,1,0,0,100,0,0,2.1,2.9,1.1,2.3,3.1,2.8,0.3,73.3,66.4,0.9,3,0.4,17760,2537.1,1,0.1,25.2,17.8,2.2,3.5,42.6,71.8,80.9,1.9,2.1,17.9,2.6,5.8,1.5,0.7,22.6,19.8,93.8,93.9,0,22.2,5.7,1.4,23.7,10.3
DAKAVIA,178,2,2,0,0,0,0,100,0,0,2,2,3,2.5,5.3,4.3,0.9,39.7,12.5,0,3,1.5,126916,63458,0,0,21.3,21.9,1.7,4.9,58,88.9,75.1,2.3,4.4,10.1,4.2,9.8,4.8,3.3,14.7,21.9,90.6,94,0,18.8,3.2,10.6,7.6,10.9
DAVID MARX,179,10,1,0,0,1,10,100,0,0,2.6,2.5,2,3.6,3.3,2.9,0.7,51.2,45,0.4,7,0.7,205440,20544,3,0.3,24.5,14.4,1.8,3.4,36.3,77.4,79.3,2.2,2.2,7.1,3.5,3.9,0.7,0.1,5,5.1,97.3,94.9,0,21.2,7.7,33.8,24.1,10.8
DELMAR GARDENS,180,13,4,0,0,0,0,100,0,0,3,3.2,2.8,2.4,3.9,3.6,0.4,47.8,44.1,0.6,12,0.9,186265,14328.1,3,0.2,26.8,11.3,1.4,3.6,39.1,65.3,66.2,2.6,1.2,21.7,4.1,5.1,3.6,0.9,18.3,17.5,92.4,85.1,0,17.1,6.3,1.2,18.6,12.1
DIOCESAN HEALTH FACILITIES,184,5,1,0,0,0,0,0,100,0,4,3.2,5,2.8,3.9,3.6,0.8,30.7,25.4,0,5,1,222580,44516,0,0,20.2,11.5,1.3,2.5,46.3,71.9,72.6,1.7,1.1,21.4,4.2,3.5,3.3,1.7,19.4,22,95,92.2,0.3,19.7,5.7,2.1,15.4,11
DIVERSICARE HEALTHCARE,185,46,6,0,1,2,4.3,93.5,4.3,2.2,2.5,2.4,2.8,3.5,3.3,2.8,0.6,45.9,43.1,0.7,36,0.8,889851,19344.6,7,0.2,23.4,13.2,1.5,1.9,52.9,86.3,84.9,1.9,2,14.2,3.3,5.9,1.5,0.7,14.5,13.4,96.6,92,0,19.4,5.8,1.7,21.9,11.2
DIVINE HEALTHCARE MANAGEMENT,186,9,1,1,0,2,22.2,100,0,0,2.1,1.4,2,4.6,3.4,3.1,0.5,54,61.1,0.6,8,0.9,313004,34778.2,4,0.4,21.6,26.3,1.3,2,39.4,61.2,69.3,1.6,1.9,10.8,3,3.2,0.3,0.2,6.9,6.6,91.8,93.5,0,22,6.4,62.4,29.8,10.7
DOVE HEALTHCARE,187,11,1,0,0,0,0,100,0,0,3.5,3.1,4,3.5,5.1,4.6,1.2,54.2,38.2,0.7,9,0.8,576178,52379.8,3,0.3,22.8,15.7,0.8,2,59.2,85.6,88.9,1.8,2.5,13.8,3,4.9,1.8,2.4,17,17.1,95.2,96.5,0,26.6,3.5,8,19.8,10.3
EDEN HEALTHCARE,191,7,2,0,1,0,0,100,0,0,2.9,2.9,3.4,2.7,3.7,3.4,0.8,49.6,44.5,0.6,9,1.3,282122,40303.1,1,0.1,26.8,14.4,1.3,2.9,63.8,75.6,85.9,2.3,1.8,19,3.3,6.4,1.9,0.9,21.3,24.4,98,98,0,21.2,6.5,3.8,16.7,11.2
EDEN SENIOR CARE,192,19,3,0,1,2,10.5,100,0,0,2.7,2.4,3.3,3.7,3.7,3.3,0.9,49.8,38.5,0.4,22,1.2,689896,36310.3,2,0.1,21.6,15.9,1.6,2.9,62.3,80.6,78.8,1.3,1.8,17.1,2.7,5.9,2.6,0.8,15.7,9.6,95.8,95.4,0,25.4,3.9,7.4,17.8,10.3
EDURO HEALTHCARE,193,35,7,0,2,5,14.3,82.9,0,17.1,2.3,2.4,2,3.2,3.2,2.8,0.5,58,54.6,0.7,90,2.6,3070986,87742.5,15,0.4,23.3,12.2,1.8,3.1,46.2,81.6,84.5,2,2,13.7,3.2,5.3,1.8,0.8,16.7,16.1,95.1,95.6,0,18.5,4.9,3.5,21.9,10.1
ELDER OUTREACH NURSING & REHABILITATION,194,5,1,0,0,0,0,0,100,0,3.4,3.6,1.8,2.8,3.7,3.1,0.2,53.8,36.7,0,2,0.4,29126,5825.2,0,0,21.5,15.1,1.8,3.2,42.5,93.2,94.6,2.7,3.1,19,3.2,3.7,0.9,0.1,15.2,20.3,99.8,98.9,0,12.8,4.9,0,28.2,10.6
ELDER SERVICES,195,6,1,0,2,1,16.7,100,0,0,2.2,2.3,3.5,2.3,4,3.6,0.5,48.1,56.1,0.6,8,1.3,659768,109961.3,0,0,29.6,12,0.4,4.4,35.3,70.7,68.2,2.1,1.6,41.7,4,4.5,3,1.5,20.1,28.8,97.3,91.7,1.5,23.8,6.5,7.2,23.2,10.2
ELDERWOOD,196,17,3,0,0,2,11.8,100,0,0,2.5,2.6,2.1,3.4,3.2,2.8,0.7,54.8,48.2,0.5,10,0.6,588455,34615,1,0.1,20.3,12.2,1,4,58.7,74,77,1.2,1.4,15.8,6,9.8,1.4,0.6,22.2,22.1,94.6,91.4,0,28.9,6.8,5.7,15.7,11.2
ELEVATE CARE,197,12,2,0,0,3,25,100,0,0,2.3,2.4,2.1,3.8,3.3,2.9,0.7,38.4,32.3,0.3,36,3,1773248,147770.7,10,0.8,24.1,8.3,2.2,1,47.4,65.9,65.7,2,1.3,20.8,2.4,8.3,1.1,0.3,6.2,6.6,91.3,91.9,0.1,12.8,6.8,80.2,15.9,10.7
ELMBROOK MANAGEMENT COMPANY,198,11,1,0,0,1,9.1,100,0,0,3.5,3.7,3.1,2.4,3.7,3.2,0.5,58.7,49.2,0.3,5,0.5,83240,7567.3,0,0,27.1,14.3,3.6,2.1,47.2,76.7,69.4,2.6,3.2,12.9,5.3,3.1,2.8,1.1,17.6,16.8,99.2,96.9,0.1,11.5,2.6,2.7,28.8,12.3
EMBASSY HEALTHCARE,199,35,2,0,2,4,11.4,100,0,0,2.6,2.1,2.2,4.6,3.5,3.2,0.5,48.1,46.2,0.7,41,1.2,1832919,52369.1,13,0.4,21.7,8.7,1.7,2.2,55.3,67.1,61.2,1.5,1.4,17.8,2.7,4.6,0.6,0.3,7.8,7.1,92.4,89.1,0.4,23.7,6.3,7.4,25.5,11.1
EMPIRE CARE CENTERS,202,19,1,0,0,2,10.5,94.7,0,5.3,1.8,2.2,1.4,3.2,3.2,2.9,0.4,54.7,55.7,1,20,1.1,608895,32047.1,4,0.2,26.6,9.7,1.9,3.2,55.1,74.4,77.4,2.1,1.4,11.3,2.8,5.9,1.3,0.7,21.6,19.1,89.4,79.8,0,25,7.3,3.4,14.2,12.1
ENVIVE HEALTHCARE,204,13,1,0,0,0,0,84.6,7.7,7.7,2.4,2.4,1.6,4.2,3.4,3.2,0.7,45.8,39,0.8,14,1.1,88976,6844.3,0,0,20.5,9.3,2,2.7,56.6,47.6,43.6,1.8,1.3,15.4,4,4.1,0.5,0.2,19.4,17.2,88.5,82.2,0,25.7,7.7,46.1,23.2,10.3
EPHRAM LAHASKY,205,23,10,2,5,4,17.4,100,0,0,1.9,1.9,2,2.8,3.5,3.1,0.6,53.1,56,0.7,43,1.9,2229246,96923.7,8,0.3,28.3,13.5,2,4.2,46.6,72.6,72.2,2,2.4,17.1,3,5.7,1.6,0.9,15.8,15.7,95.3,86.5,0,22.1,6,23.9,23.2,10.7
EPIC HEALTHCARE MANAGEMENT,207,5,1,0,0,0,0,100,0,0,3.2,2.6,2.4,4.6,3.2,2.9,0.6,31.2,25.6,0.4,2,0.4,19984,3996.8,0,0,18.7,10.5,0.4,2.1,53.2,83.3,73.8,2,1.1,13.8,3,4.6,0.2,0.1,11.5,13.3,97.8,94.4,0,19.7,4.8,20.1,15.9,10.8
ESSENTIAL HEALTHCARE,212,6,1,0,1,3,50,100,0,0,2.3,2.2,3.7,2.6,3.9,3.3,0.8,28.8,47.2,1.2,5,0.8,257092,42848.7,1,0.2,30.3,13.7,2.1,1.6,50.2,50.6,37.4,3.4,2.5,21.5,2.3,4.7,1.1,0.9,14.5,14.9,90.8,67.4,0,19.9,5.9,35.1,22.4,10.9
EVA CARE GROUP,213,9,1,1,0,1,11.1,100,0,0,3.3,2.6,4.3,4.3,4.3,4,0.8,35,37.9,0.6,8,0.9,525372,58374.7,3,0.3,24.1,12.1,0.9,1,54.1,99.3,99.2,2.5,1.6,9.7,0.8,5.3,2.8,1,13.8,11.2,99.8,99.9,0,7.4,5.1,0,13,10.9
EXCELSIOR CARE GROUP,217,33,3,0,0,3,9.1,100,0,0,2.7,2.2,2.4,4.5,3.3,3.1,0.6,41.5,49.1,1.1,71,2.2,1292144,39155.9,0,0,24,8.4,1.9,2,58.7,88.7,86.5,1.9,1,11.8,2,6.2,0.2,0.2,8.1,7.6,98.1,95.5,0,8,7,23.5,15.2,10.9
FAMILY OF CARING HEALTHCARE,220,8,1,0,0,0,0,100,0,0,3.8,3.4,3.5,4.3,4.1,3.8,0.9,34.7,25.8,0.5,3,0.4,39336,4917,0,0,25.9,9.3,1.3,1.7,59.3,91.4,98.7,1.5,0.8,16.6,2.7,5.4,1.4,1.3,15.3,10.1,97.6,99.4,0,17.2,6.4,7.2,15.6,10.1
FIRST ATLANTIC HEALTHCARE,221,10,1,0,0,1,10,100,0,0,2.9,2.8,4,2.7,4.2,3.8,0.9,48.7,38.3,0.2,7,0.7,140746,14074.6,0,0,24.3,16.9,1,2.7,55.5,69.4,68.9,1.6,3.1,24.1,3.2,5.2,2.8,0.6,29.9,24.4,97.2,88.5,0,27.3,6.4,4.4,20.7,10.8
FLORIDA INSTITUTE FOR LONG-TERM CARE,223,18,1,0,2,2,11.1,22.2,77.8,0,2.4,2.1,3,4,3.3,3.1,0.6,36.7,46.3,0.9,20,1.1,1158135,64340.8,0,0,27.8,7.9,3,2,51,98.9,94.9,2.1,1.1,8.8,2.4,6.3,0.2,0,7.1,7.5,100,97.1,0,4.2,6.2,0.9,20.8,11.3
FOCUSED POST ACUTE CARE PARTNERS,224,25,1,0,3,8,32,88,0,12,2.2,2,1.4,4.4,3,2.7,0.3,49.7,59.3,0.6,41,1.6,1825553,73022.1,6,0.2,26.2,14.8,1.7,0.9,53.5,83.7,87.9,1.5,1.8,12.4,3.2,5.3,0.9,0.3,9.6,13.9,98.9,99.2,0,11.6,3.1,0.5,19,10.6
FOUNDATIONS HEALTH SOLUTIONS,225,63,1,0,0,0,0,100,0,0,4.1,3.9,2.1,4.4,3.6,3.2,0.6,39.8,36.3,0.4,34,0.5,411994,6539.6,0,0,27,13.9,1.1,2.6,44.5,81.3,83.8,1.7,1.7,9.7,2.3,3.5,0.2,0.1,3.9,3.6,95,95.6,0,17.1,5.6,53,28,10.9
FOURSQUARE HEALTHCARE,226,10,1,0,0,0,0,40,0,60,3.6,4.2,1.1,3.9,3.1,2.7,0.4,48,39.4,0.2,4,0.4,107993,10799.3,0,0,29.2,9.3,1.2,2,61.9,93.8,98.8,2.3,1.4,8.8,4.2,4.9,1.3,0.7,15.7,12.6,99.6,99.9,0,21.8,2.9,41.7,29.7,11
FRANCISCAN COMMUNITIES,227,6,3,0,0,0,0,0,100,0,4.2,3.3,4.3,4.3,4.8,4.4,1.3,41,34.2,0.3,8,1.3,206032,34338.7,1,0.2,27.1,12,0.5,3.8,54.4,89.5,95,1.5,1.1,11.4,2.1,5,0.5,0.2,10.1,7.4,98.2,99,0,26.4,6,3.6,17.9,10.9
FRONT PORCH,229,9,1,0,0,0,0,0,100,0,4.7,4.1,4.6,4.8,4.9,4.3,0.9,24.9,40.7,0.5,1,0.1,8176,908.4,0,0,21.9,9.5,0.1,0.8,68.4,93.2,95,1.9,1.1,10,1,3.5,1.7,1,21.8,13.6,96.1,99.2,0.4,23.7,5.4,0.3,5.2,9.9
FRONTLINE MANAGEMENT,230,9,2,0,0,1,11.1,100,0,0,3.3,3.3,2.9,3,3.5,3.1,0.8,47.1,49.2,0.2,7,0.8,240163,26684.8,1,0.1,19.4,14.2,1.4,1.8,46,63.6,72.8,1.5,2.1,17.6,4.8,3.8,2.9,0.4,27.4,24.7,96.4,89.7,0,26.4,6.2,6.8,12.6,10.1
FUNDAMENTAL HEALTHCARE,231,69,7,1,2,7,10.1,95.7,0,4.3,2.4,2.4,2.2,3.6,3.3,3,0.5,44.9,39.9,0.4,98,1.4,2560479,37108.4,2,0,24.7,11.9,1.3,2.9,52.5,71.6,68.9,2,1.7,14.1,2.8,5.6,0.8,0.4,16,14.7,93.5,86.2,0,12.3,4.8,4.4,20,11.8
FUTURE CARE/LIFEBRIDGE HEALTH,232,18,1,0,0,1,5.6,94.4,5.6,0,3.6,3.2,3.5,4.4,4,3.6,1,41.5,33.5,0.1,6,0.3,83586,4643.7,1,0.1,21.2,9,1.1,3.1,63.1,82.8,82.5,1.4,1.1,10.7,1.4,7.7,1.4,0.5,27.5,16.4,97.5,93.6,0,21.6,5.3,11.4,10.2,11.8
GENERATIONS HEALTHCARE,236,27,2,0,0,1,3.7,100,0,0,4.2,3.7,3.8,4.6,4.3,3.8,0.6,35.7,36.8,0.5,14,0.5,383062,14187.5,1,0,23.1,14,0.7,0.7,56.5,98,98.8,2.2,1.9,18.9,1.6,2.6,0.7,0.4,6.8,5.8,100,99.8,0.1,9.8,3.8,5,13.5,10.5
GENESIS HEALTHCARE,237,187,18,6,13,20,10.7,100,0,0,2.4,2.3,2.5,3.6,3.5,3.1,0.7,46.4,45.2,0.9,202,1.1,8582521,45895.8,32,0.2,22.4,10.6,1.4,3.3,48.4,76.3,79.5,1.6,1.5,14.5,3.1,5.8,1.3,0.5,19.8,18,95.4,94.1,0.1,23.6,6,14.1,18.1,10.8
GREEN TREE HEALTHCARE MANAGEMENT,241,4,2,0,0,1,25,100,0,0,1.8,2,2.5,3.5,3.6,3.1,0.6,53.6,48.6,1.5,26,6.5,631886,157971.5,1,0.3,22.8,11.8,1.5,3.6,59,74.9,83.3,1.3,2,23.4,4.1,4.9,0.9,0.6,17.8,19,96.7,95.3,0,30,7.5,18.8,16.3,10.6
GULF COAST LTC PARTNERS,243,19,1,0,1,1,5.3,84.2,0,15.8,2.6,3,1.9,2.8,3.3,3,0.3,55.8,54.2,0.7,20,1.1,490822,25832.7,1,0.1,30.4,13.7,4,3.1,55,89.4,93.3,2.4,2.4,17.1,3.4,4.8,3.1,0.2,18.8,21.2,99,99.4,0,15.2,5.3,1.3,17.7,11.4
HARBORVIEW HEALTH SYSTEMS,246,22,3,1,0,3,13.6,100,0,0,1.8,2,2.3,2.3,3.6,3.2,0.6,48.2,51.6,0.5,32,1.5,951957,43270.8,4,0.2,27.9,13.8,1.5,2.7,42.1,70.7,74.1,2.5,2,13.7,2.6,6.2,2.6,0.9,19.2,14.4,91.1,89.7,0,17.9,7.4,27.3,17.9,11.2
HAVEN HEALTH,249,20,1,0,0,7,35,100,0,0,2.8,2,2.3,4.9,3.3,2.9,0.6,44.7,39.9,0.3,7,0.4,98283,4914.2,0,0,24.1,10.6,0.5,0.8,70.1,83.4,86.7,1.5,1.7,4.8,2.3,3.6,0.7,0.3,10.9,6.8,93.8,95.3,0.6,20.8,7.7,3,17.9,10.5
HAWAII HEALTH SYSTEMS CORPORATION,250,7,1,0,1,0,0,14.3,0,85.7,4.2,3.3,4.7,4.3,4.9,4.2,1.6,34,32.2,0.3,3,0.5,55915,9319.2,0,0,17.2,4.7,2.1,0.3,65.5,92.2,81,1,0.7,16.4,2,2.2,0.9,0.2,19.5,15.8,97.6,97.1,0,11.7,3.9,2.6,8.2,10.2
HCF MANAGEMENT,251,22,2,0,0,0,0,100,0,0,3.4,3,3,4.2,3.5,3.1,0.6,40.2,40.6,0.5,5,0.2,85307,3877.6,2,0.1,22.4,12.3,1.2,2.7,50.1,69.9,73.1,1.5,1.5,13.1,3,3.9,0.6,0.2,10.1,8.5,94.1,90.6,0,25.3,6.2,5.2,25.4,10.7
HCF MANAGEMENT INDIANA,252,6,1,0,0,1,16.7,0,33.3,66.7,3.3,3.5,2.2,4,3.9,3.3,0.5,38.9,32.3,0.3,0,0,0,0,0,0,21.6,11.3,1,2.7,61.4,95.9,98.3,2.4,2.1,9.4,1.5,3.5,3.5,0.2,24,20.1,98.9,99.5,0.8,19.6,5.9,32.6,25,10.9
HEALTH CARE MANAGEMENT GROUP,254,7,2,0,0,0,0,100,0,0,3.6,3.3,2.9,4,3.9,3.6,0.5,52.4,51.4,0.1,5,0.7,28517,4073.9,0,0,27.1,16.5,0.6,1.9,43.4,85.3,88.9,2,2.1,13.2,4.5,2.7,0,0,5.2,4.2,99.1,97.1,0,20.9,8.3,13.4,27.6,10.2
"HEALTH CONCEPTS, LTD.",255,5,1,0,0,0,0,100,0,0,3.8,3.8,3.6,2.6,3.4,3,0.7,34.2,38.7,0.4,2,0.4,29663,5932.6,0,0,24.4,20.3,1.8,2,53.1,84.2,77.1,1.6,1.8,27,3.2,3.4,3.1,0.7,20.7,24.9,95.4,90.9,0.3,21.9,3,10.5,15.5,10.3
HEALTH SERVICES MANAGEMENT,257,16,2,0,0,1,6.3,0,87.5,12.5,3,2.9,2.8,3.6,3.6,3.3,0.5,52.7,51.4,0.4,17,1.1,508601,31787.6,3,0.2,30,9.1,1.2,2.5,52.2,89.6,87.2,2.2,1.8,8.1,2.5,4.2,0.4,0.2,19.4,16.5,98.8,96.9,0,16.8,5.8,1.5,18.1,11.4
HEALTHCARE OF IOWA,260,6,1,0,0,0,0,50,50,0,3.7,3.5,3.7,3.5,3.5,3,0.7,50.2,42.9,0.8,4,0.7,62128,10354.7,1,0.2,23.5,13.6,0.7,10.4,65.6,89.1,88.6,1.3,1.8,11.6,4.5,11.8,2,1.2,12.5,15.9,97.5,95.9,0,24.5,4.4,2.7,14.3,10.9
"HEALTHPEAK PROPERTIES, INC.",261,15,6,0,0,1,6.7,100,0,0,3.3,2.9,4.1,3.9,4.8,4.2,1,51.9,53.4,0.5,11,0.7,141043,9402.9,0,0,25.5,10.2,1.1,1.4,53.3,90.9,92.8,2,1.3,8,4.1,5.8,2.3,1.2,22.8,16.4,98.7,96.4,0,22.6,6.5,2.3,15.1,11.3
HEARTHSTONE SENIOR COMMUNITIES,262,8,1,1,1,1,12.5,50,50,0,1.9,1.9,2.1,3.4,3.1,3,0.5,45.1,60,1.4,10,1.3,548011,68501.4,1,0.1,27.2,10.6,2.1,2.6,43.5,99,98.9,2.1,1.2,13.5,2.1,4.9,0,0.1,7.9,8.1,100,99.4,0,6.8,5.7,2.2,22.5,10.8
HELIA HEALTHCARE,263,13,2,0,0,4,30.8,100,0,0,2.3,2.7,1.3,2.8,2.8,2.6,0.4,50.3,41.5,0.5,24,1.8,981609,75508.4,11,0.8,26.5,17.9,2.7,1.5,49.3,76,71.3,2,3.2,15.9,3.1,4.8,0.7,0.8,20.4,19,97.6,95.2,0.2,17,5.4,32.4,25.3,11.2
HERITAGE HALL,265,16,1,0,0,0,0,100,0,0,3.8,3.6,2.3,3.8,3.3,2.8,0.4,38.6,36.5,0.4,6,0.4,179492,11218.3,0,0,21.2,11.1,1,1.4,64.5,75.9,80.1,1.3,1.6,14,4.5,3.8,1.4,0.3,18.2,18.1,97.5,96.6,0,19,4.6,6.1,22,11
HERITAGE MINISTRIES,266,4,2,0,0,1,25,0,100,0,2.3,2.5,2,3.5,3.1,2.9,0.5,44.9,36.2,0,5,1.3,28242,7060.5,0,0,22.2,13.2,0.7,5.7,53.1,63.1,53.1,0.8,1.1,17.2,3.7,4.5,2.7,1.7,17.6,17.1,95.2,86.1,0,18.2,4.7,1.6,11.8,10.4
HIGHBRIDGE HEALTHCARE,269,6,3,0,1,3,50,100,0,0,2.5,2.3,1.8,4.2,3.5,3.1,0.4,43,50.1,0.7,9,1.5,378410,63068.3,1,0.2,23.9,10.9,2.2,2.8,72,65.9,70.2,2.8,2.3,16.8,1.7,5,1,0.1,10.8,10.7,90.3,86.3,0,23,6.5,45,14.2,11.1
HILL VALLEY HEALTHCARE,270,44,7,0,4,7,15.9,95.5,4.5,0,2,1.9,1.8,3.9,3.4,3,0.6,54.4,58.9,0.9,35,0.8,1610757,36608.1,4,0.1,22.1,11.9,1.1,3.2,52.1,61.8,64.5,1.6,1.7,14.8,3.5,4.8,1,0.3,13.4,11.2,91.7,87.6,0,24.5,7,21.9,18.5,10.6
HILLSTONE HEALTHCARE,271,12,1,0,0,0,0,100,0,0,3.7,2.9,2.1,4.9,3.3,2.9,0.6,43.6,44.6,0.8,2,0.2,236704,19725.3,3,0.3,,,,,,66.5,54.9,1.7,1.9,9.3,3.4,2.5,0.3,0.2,7.1,5.7,96.2,88.3,0,16.6,4.4,42.1,42.2,12
HMG HEALTHCARE,272,33,2,0,1,2,6.1,100,0,0,3.3,3,1.8,4.6,3.3,2.9,0.4,52.7,46.6,0.3,44,1.3,1598948,48453,7,0.2,24.9,11.5,0.6,0.8,55.3,95.9,95,2.1,1.9,7.4,2.6,3.6,0.3,0.1,7.9,8.7,99.4,99,0,8.9,1.7,1.2,12.2,11.3
HOMEWOOD RETIREMENT CENTERS,273,4,2,0,0,0,0,0,100,0,4.5,4,4.8,4.5,4.3,3.9,0.9,32.9,28.2,0,2,0.5,49709,12427.3,0,0,20.2,7.5,0.7,2.9,55.6,96.9,96.6,1.1,0.7,21.7,4.7,3.5,1.7,0.6,31.1,28.6,99.7,99.4,0,30,6.8,0.9,21,10.1
HUMANGOOD,274,17,7,0,0,1,5.9,5.9,94.1,0,4.5,3.7,4.7,4.4,4.9,4.4,1.1,29.8,30.9,0.4,7,0.4,239597,14093.9,2,0.1,22.5,11.5,0.9,2.3,60.6,91.6,92.9,2,1.1,11.3,1.9,4.4,2,0.6,20.6,15.1,97.8,98,0,22.6,4.7,6.4,12.8,10.2
HURLBUT CARE,275,13,1,1,0,0,0,100,0,0,3.8,3.9,2.7,3.2,3.6,3,0.4,52.8,49.9,0.5,7,0.5,947011,67643.6,0,0,21.3,17,1.5,3,31.2,74,72.1,1.9,1.3,13,4.4,8.2,2.6,0.5,16.8,19.2,97,89.4,0,29.8,6.2,3.1,9,10.7
HYATT FAMILY FACILITIES,276,5,1,0,1,0,0,100,0,0,2.6,2.4,3.4,3.8,4,3.4,0.9,50.1,59.9,0.8,5,1,451096,90219.2,1,0.2,23.2,18.2,1.7,3,68.3,91.7,93.9,1,1.3,15.9,1.9,4.6,3.6,1.4,23.5,20.8,98.5,97,0,29.6,9.6,10.9,11.3,10.4
