Chain,"Chain ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay residents with new or worsened bowel or bladder incontinence","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF"
"OHIO LIVING COMMUNITIES",383,11,1,0,0,0,0,9.1,90.9,0,4.7,3.7,4.4,4.9,4.6,4.1,1,42.5,23.3,0.3,2,0.2,68330,6211.82,0,0,22.6,11,0.7,0.9,66.4,85.9,81.1,1.5,1.3,8.4,2.5,2.1,1.1,0.2,11.7,7.5,88.9,94.4,0,18.3,5.2,8,22,11
"OKLAHOMA NURSING HOMES, LTD.",384,7,1,0,0,1,14.3,100,0,0,2.4,2.9,2.3,2.6,4.3,3.9,0.4,49.3,57.1,1,17,2.4,195407,27915.29,0,0,23.4,14,1,2.7,61.6,79.1,86.6,2.4,3.4,12,6.9,3.5,1.2,2.9,22.2,20.9,94.9,99.1,0.1,22.4,4.1,5.3,36.3,11.5
"O'NEILL HEALTHCARE",380,6,1,0,0,0,0,100,0,0,4.2,3.7,1.8,5,3.5,3.1,0.5,50,52.7,0.2,1,0.2,166764,27794,0,0,25.4,10.1,0.6,1.3,68.3,71.6,85.5,1.7,0.9,3.2,3.9,3.6,0,0,4.1,3.5,87,95.8,0,22.3,4.3,44.3,25.9,11
"ONYX HEALTH",385,11,1,0,0,0,0,100,0,0,4.4,3.6,3.6,4.7,3.6,3.4,1,35.4,45.4,0.5,7,0.6,51603,4691.18,0,0,27.1,6.9,1.3,1.2,59.6,97.4,98.3,2.3,0.7,6.4,1.1,4,0,0.2,6.3,7.1,100,99.7,0,5.9,6.3,4.4,10,10.1
"OPCO SKILLED MANAGEMENT",773,66,5,0,3,15,22.7,89.4,1.5,9.1,2.3,2.3,1.8,4.3,3.2,2.9,0.4,53.3,49.4,1,101,1.5,3315033,50227.77,16,0.2,23.3,14.1,1,1.8,62.8,77.9,77.9,1.8,2.3,13.6,2.7,3.3,0.4,0.2,9.9,10.7,96.4,93.2,0,18.1,4.1,7.7,16.7,11.3
"OPTALIS HEALTH & REHABILITATION",601,37,2,0,1,9,24.3,100,0,0,2.4,1.8,2.6,4.5,3.8,3.4,0.6,52.7,49.5,0.6,40,1.1,2093782,56588.7,15,0.4,25.5,9.6,0.9,1.7,70,85.2,91.6,2,1.4,12.4,2.6,6.5,1.1,0.6,11.1,8.1,96.4,97.7,0,22.5,5.9,17.2,18,10.9
"OPTIMA CARE",386,8,3,0,0,0,0,100,0,0,2.9,2.3,3.4,3.9,3.7,3.3,0.7,40.9,40.4,1.1,11,1.4,206720,25840,0,0,20,6.9,1.7,1.7,65.5,87,87.5,2,0.9,8.6,3.1,6.6,1.3,0.4,11.2,13,98.6,97.7,0,17.3,4.6,19.5,16.1,11.2
OSBYCORP,388,2,2,0,0,1,50,100,0,0,1.5,2,2,3.5,3.2,2.7,0.7,36.4,25,0,0,0,0,0,0,0,26.4,4.5,10.5,5.4,80,90,96.6,1.3,2.3,13.9,4.1,3.5,5.3,0.5,12.6,13.9,98.4,99.6,0,22.3,6.4,8.7,24.4,10.8
"OTTERBEIN SENIORLIFE",389,19,2,0,0,0,0,5.3,89.5,5.3,3.1,2.9,3.2,4.3,4.1,3.8,0.8,50.8,47.7,0.3,6,0.3,114494,6026,0,0,26.7,14.1,0.8,1.4,53,86.9,92.8,1.7,1.6,10.4,3.7,3.3,0.6,0.4,5.5,4.3,96.8,97.7,0,25.3,6.9,13,26.8,11
"PACIFIC HEALTHCARE HOLDINGS",792,15,1,0,1,1,6.7,100,0,0,1.9,2.2,1.3,3.7,4.4,3.8,0.3,30.7,16.1,0,21,1.4,739563,49304.2,10,0.7,24.4,7.9,1.9,1.1,51.1,87.6,89.1,3,1.2,12.2,0.9,4.9,0.8,0.9,10.4,13.9,96.4,96.7,0.1,9.1,7.9,22.8,14.2,10.9
"PACIFIC RETIREMENT SERVICES",391,10,5,0,0,0,0,0,100,0,4.5,4.2,4.6,4.4,5.6,5.1,1.4,41.2,39.2,0.4,1,0.1,10033,1003.3,1,0.1,21.8,9.5,0.6,3.2,55.8,88.6,95.3,1.1,1.3,7.4,2.8,4.4,2.6,1.2,19.8,15.9,99.6,99.7,0,20.7,5.3,3.4,8,9.7
"PACS GROUP",690,280,16,3,9,26,9.3,100,0,0,3,2.5,2.4,4.3,3.9,3.5,0.5,46.8,47.5,0.5,255,0.9,9017895,32206.77,69,0.2,22.7,12.4,1.2,1.6,62.8,87.2,89.5,1.8,1.6,12.1,2.1,4,0.7,0.4,9.9,8.1,96.1,96.1,0.1,15.4,3.2,18.5,16.7,10.7
"PALLADIAN HEALTHCARE",393,6,2,0,0,3,50,100,0,0,1.7,2.2,1.2,2.2,2.7,2.5,0.3,48.4,55.3,0.2,9,1.5,443000,73833.33,3,0.5,26.7,17.7,1.6,3.3,49.4,81.9,62.4,2.2,3.1,18.8,5,4.1,1.7,0.8,28.8,27,92.9,83.1,0,20.8,7.2,24.3,19.8,11.6
"PALM GARDEN HEALTH AND REHABILITATION",394,14,1,0,0,2,14.3,100,0,0,3.1,2.5,3.4,4.4,3.7,3.4,0.6,43.9,42.2,0.5,16,1.1,327558,23397,0,0,25.8,8.1,0.9,1.9,47.8,94.6,96.9,2.4,1,4.3,2.2,4.2,0.9,0.5,12.9,10.1,98.3,99.7,0,18.9,5.6,0.8,18,11.6
"PARADIGM HEALTHCARE",620,18,2,3,0,4,22.2,94.4,0,5.6,1.9,1.7,1.6,3.7,3.3,2.9,0.5,54.4,58,1.6,38,2.1,1277966,70998.11,7,0.4,27,10.7,1.4,2.2,52.9,89.3,90.8,2.2,2.4,14.1,2.4,5.8,0.2,0.1,7.8,12.8,97.9,97.8,0,11.3,4.7,1.2,20.6,10.7
"PARADIGM SENIOR MANAGEMENT",623,8,1,0,0,0,0,87.5,0,0,3.4,4.6,1,2.7,3.2,2.8,0.3,57.1,37.5,0.7,2,0.3,26628,3328.5,1,0.1,32,16.5,4.6,1.3,64.7,22,18.5,2.2,3.6,32.8,7.7,4.3,5,1,15.1,15.5,76.1,62.2,0,8,10.8,10.3,20.9,11.3
"PARAGON HEALTHNET",395,11,1,0,0,0,0,100,0,0,4.5,3.8,2.4,4.8,3.9,3.4,0.8,32.4,34.1,1.1,1,0.1,70480,6407.27,0,0,16.8,6.9,1.6,1,70.3,91,93.2,1.4,0.9,15.3,2.8,7.6,0.7,0.3,9.9,12.5,97.7,98.8,0.2,9.4,5.9,35.3,18.8,10.3
"PARAMOUNT CARE CENTERS",774,10,2,0,1,0,0,100,0,0,3.4,2.8,2.4,4.5,3.5,3.1,0.5,41,32.7,0.3,9,0.9,503664,50366.4,0,0,26.4,8.5,1.5,1,72.4,84,77.7,2.1,1,15,1.5,5.1,0.7,0.2,11.2,12.7,98.8,90.6,0,17.2,3.9,25,17.4,11.2
"PARAMOUNT HEALTHCARE",775,8,1,0,0,1,12.5,87.5,12.5,0,2.6,2.9,2.1,3.4,3.4,3.1,0.3,51.8,47.5,0.3,12,1.5,375206,46900.75,0,0,27.9,8.4,0.9,0,46.2,92.2,95.5,2.4,1.4,11.9,2.2,5,1.1,0.7,25.2,24,99.4,97.6,0,18.4,2.4,0.5,22.3,10.5
"PARAMOUNT HEALTHCARE CONSULTANTS",396,14,2,0,0,0,0,100,0,0,2.3,2.7,2.7,1.9,3.6,3.2,0.3,45.8,50,0.4,7,0.5,314576,22469.71,4,0.3,30.5,17.9,3,2.7,56.8,43.8,67.5,2.7,3.9,28.9,4.1,6.3,1.4,1.7,23,19.9,94.1,86.8,0.2,14.7,5.4,1.3,18.6,12.9
"PAVILION HEALTHCARE",612,5,1,0,0,0,0,100,0,0,2.4,2.6,1.8,3.8,3.2,2.9,0.6,31.5,32,0.4,8,1.6,315385,63077,3,0.6,26.9,8.2,1.9,2.7,30.4,41.5,37,1.8,1.9,18.1,1.1,4.1,0.3,0.4,10.1,8.1,92.8,83.4,0,25,7.1,92,13.7,11.6
"PEACH HEALTH GROUP",604,5,1,0,1,2,40,100,0,0,1.6,1.8,1.8,2,3.2,2.8,0.3,47.3,47.2,0.8,5,1,87024,17404.8,1,0.2,24.6,12.6,8.8,2.4,47.2,47.5,43.1,2.2,2.2,22.7,2.8,5.4,2,2.5,17,21.3,86.2,67.9,0.5,16.3,4.7,20.6,23.6,10.5
"PEAK RESOURCES, INC.",397,9,1,0,0,1,11.1,100,0,0,3.4,3.4,2.4,3,3.3,3,0.4,44.1,39.1,0.1,5,0.6,84411,9379,1,0.1,23.2,13.3,2.4,4.5,53.4,90.7,92.2,1.7,1.9,14.8,4.5,5.4,2.2,0.4,21.7,18.4,95.4,97.9,0,16.1,10.6,3.6,23,11.3
"PEARL HEALTHCARE",595,15,1,0,0,1,6.7,100,0,0,2.6,2.7,2.1,3.6,3.4,3,0.8,48,40.3,0.3,26,1.7,1141930,76128.67,4,0.3,27.3,12.6,2.2,1.6,57.1,55.2,55.2,2.1,1.6,18.3,2.4,5.3,0.6,0.5,11.6,9,91.3,85.8,0,20,5.2,82.8,12,10.4
"PERSONAL HEALTHCARE MANAGEMENT",677,21,2,0,0,0,0,100,0,0,3,2.9,3.2,3,3.4,2.9,0.6,47,36.8,0.4,18,0.9,486001,23142.9,0,0,22.2,12.6,1.5,2.6,53,76.7,77.2,1.8,2.1,15.4,3.6,6.5,1.2,0.5,15.3,14.4,94.3,94.2,0.1,20.9,8.2,5.1,15.4,10.5
"PETERSEN HEALTH CARE",399,12,2,0,1,2,16.7,100,0,0,1.8,2.4,1.2,2.2,3.4,3.1,0.6,56.1,70.9,1.3,23,1.9,1230032,102502.67,13,1.1,19.6,22.3,1.3,2.7,26.6,44.8,70.6,1.8,3.3,22.2,3.4,5.4,1.7,0.4,28.6,29.8,77.3,88.2,0,24.6,5.7,34.3,28.4,10.9
"PHILOSOPHY CARE CENTERS",400,3,2,0,0,1,33.3,100,0,0,2.7,2.7,2.3,4,3.5,3.1,0.5,33.4,26.8,0.3,2,0.7,158890,52963.33,0,0,27.9,8.8,2.7,1.4,65.1,55.1,52.2,2.1,1.6,14.7,1.9,7.5,0.9,0.5,7.6,9.2,94.6,87,0.3,8.9,5.5,9.3,28.4,10.4
"PHOENIX HEALTHCARE",401,6,1,0,0,1,16.7,100,0,0,2.8,2.8,3.2,3,4.3,4.1,0.5,53.3,42.5,4,5,0.8,50467,8411.17,1,0.2,22.7,21,1.6,4.1,51.8,67.3,67.6,2.1,2.7,22.1,5.1,4.6,2.8,0.8,15.9,14.7,87,86.7,0,20.2,5.3,2,15.7,10.7
"PHOENIX SENIOR LIVING",402,2,2,0,0,0,0,100,0,0,3,3,2.5,2.5,4.3,4,0.6,53.2,81.8,0,3,1.5,27834,13917,1,0.5,26.1,13.6,1.1,4.3,47,84.4,95.8,2.1,2.1,11.7,11,5,4,3.7,22.4,15.5,93.8,99.3,0,23.3,14.1,4.4,12.4,11.3
"PIONEER HEALTHCARE MANAGEMENT",403,9,1,1,0,1,11.1,100,0,0,2.6,2.4,3,3.1,3.3,3,0.6,57.2,57.6,0.3,5,0.6,169706,18856.22,8,0.9,21.7,11.6,2,0.9,59.5,60.7,59,2.1,2,28.6,2.2,6.3,1.1,1.5,9.3,10.5,83.7,77.9,0,9,4.6,4.1,20.5,10.8
"PIVOTAL HEALTH CARE",404,9,3,0,0,0,0,100,0,0,4.3,3.5,4.5,4.3,4.4,3.9,1,53.4,42.4,0.1,1,0.1,12248,1360.89,0,0,20.7,11.9,1.6,1,61.9,87.4,95.4,1.6,1,6.5,3.8,3.6,2.5,1.3,21,18.3,95.6,98.8,0,28.2,3.4,1.7,12.2,10.5
"PLAINVIEW HEALTHCARE PARTNERS",657,12,3,1,1,3,25,100,0,0,1.8,2.1,2.3,3.1,3.7,3.5,0.5,56.4,52.7,1.2,14,1.2,641631,53469.25,5,0.4,25.7,13.5,1.3,4.4,46.3,75.2,72.5,2,2.2,12.3,3.2,4.5,0.8,0.8,18.1,14.9,92.7,89.5,0.1,15.9,7.4,6.4,22.5,11.4
"PLANTATION MANAGEMENT COMPANY",406,16,1,0,1,1,6.3,100,0,0,1.8,2.5,1.3,1.9,3.2,2.8,0.1,46.7,46,0.9,15,0.9,843169,52698.06,3,0.2,33,15.1,1.9,3.9,37.2,78.3,84.2,2.6,2.4,21.7,3.6,6.6,2,0.9,18.6,15.1,95.9,88.7,0,18.7,5.9,1.5,19.8,11.4
"POINTE MANAGEMENT",776,12,3,0,0,5,41.7,100,0,0,1.7,2.3,1.3,1.3,3.1,2.8,0.4,55.1,49.8,1.1,20,1.7,997642,83136.83,14,1.2,27.4,16.7,2,3.7,34.9,51.8,70.3,2.6,4.2,28.7,3.5,6.4,4.2,2.4,24.1,25.6,89.3,93,0.2,20.1,5.8,13.3,28.2,11
"POLLAK HOLDINGS",408,6,2,1,4,3,50,100,0,0,1.6,1.2,1.5,3.8,3.6,3.3,0.5,58.4,55,1.5,14,2.3,747181,124530.17,1,0.2,27.3,13.1,2.5,1.7,60.4,37.7,38.5,1.8,1.8,18.1,2.6,5.1,0.8,0.6,15,12.7,80.4,64.5,0,24.2,9.1,1.9,20.4,11
"PRATAP PODDATOORI",847,6,1,0,0,0,0,100,0,0,3.3,3,4,4,4.2,3.9,0.6,51.7,40.9,0.3,21,3.5,136068,22678,2,0.3,25.8,15.6,0.3,0.4,61.8,88.2,91.8,2.1,2.5,5.8,1.4,7.3,0.4,1.7,12.9,8.9,95.1,96.5,0,11.8,5.6,0.3,7.3,10.4
"PREFERRED CARE",409,13,2,0,0,0,0,100,0,0,3.8,3.1,2.5,4.6,3.8,3.4,0.6,53.9,50.1,0.2,4,0.3,157243,12095.62,0,0,24.9,9.6,0.5,1.1,74.7,92.5,93.6,2.2,1.2,10,1.9,4.9,1.1,0.4,10.3,9,98.7,99.3,0,17.9,4.1,15.2,19.2,10.4
"PREMIER HEALTHCARE OF ILLINOIS",410,3,2,0,0,0,0,100,0,0,2.3,2.3,1.7,2.7,3.3,2.9,0.7,48.8,43,1,7,2.3,195207,65069,0,0,14.9,12.1,3.3,1.7,24.5,60.3,79,1.9,1.9,29.4,2.9,5.9,0.1,0.6,16.8,13.4,96.2,93.1,0,24.3,7,85.3,27.5,10.7
"PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA",411,5,1,0,0,0,0,20,80,0,4.2,3.4,4,4.6,5.4,4.5,1.2,55.4,50.5,0.3,0,0,0,0,0,0,24.8,13.3,1,2.4,81.6,92.2,98,0.6,0.5,6.1,8.6,5.1,0,0,11,8.6,100,100,0,25.2,"",0,"",10.8
"PRESBYTERIAN HOMES & SERVICES",412,21,3,0,0,0,0,9.5,90.5,0,4.3,3.6,4.9,3,4.4,4.1,1.2,33.6,30.5,0.6,6,0.3,107802,5133.43,3,0.1,21.4,10.8,1.1,3.7,55.7,80.3,87,1.3,1.6,16.8,4.6,6.1,3.6,2.7,27.5,21.7,87.9,97.5,0,29.4,4,4.4,13.7,10
"PRESBYTERIAN MANORS OF MID-AMERICA",413,14,2,0,0,0,0,0,100,0,3.6,3.4,3.9,3.1,4.6,4.2,0.8,53.7,45.9,0.3,11,0.8,149164,10654.57,3,0.2,23.5,13,1.3,3.9,59.4,73.6,82.5,1.5,1.8,9.5,5.4,4.1,3.6,1.5,23.2,23.7,95.9,96.4,0,30.1,5.5,2.1,19.8,10.3
"PRESBYTERIAN SENIOR LIVING",415,11,3,0,0,3,27.3,0,100,0,3.5,2.9,4.3,3.8,4,3.7,0.9,40.5,38.9,0.7,10,0.9,340662,30969.27,0,0,26.2,11.4,0.7,2.8,57.6,59.1,63.3,1.3,1.2,15.9,3.6,3.6,1.3,0.3,25.6,22.2,90.7,83.9,0,29.6,5.4,2.9,20.6,11.4
"PRESBYTERIAN SENIORCARE NETWORK",838,5,1,0,0,2,40,0,100,0,3.4,3,4.6,3.4,4.4,4,1.1,42,38.4,0.2,4,0.8,140973,28194.6,0,0,27.9,12,0.7,1.7,53.4,74.6,69.9,1.5,1.4,13.9,4,3.4,1.4,1.9,23.8,24.2,92,79,0.1,33.9,7.2,5.6,13.2,10.1
"PRESTIGE ADMINISTRATIVE SERVICES",416,9,2,0,0,0,0,100,0,0,2.4,2.2,2.4,3.6,3.8,3.2,0.6,47.9,46.3,0.6,8,0.9,384899,42766.56,1,0.1,20.4,12.8,1.6,2.7,41,68.1,64.4,1.5,1.8,15.3,2.6,8.6,1.7,0.5,18,11.3,96.8,92,0,19.9,6,3.3,26.7,11.3
"PRESTIGE CARE",417,2,2,0,1,1,50,100,0,0,3,2.5,2.5,4.5,4.4,3.8,0.8,44.3,53.8,0.5,3,1.5,30866,15433,0,0,23.1,9.8,0.8,0.4,66.8,93.5,98.4,0.9,1.1,19.7,2.2,5.1,0,0,9.7,8.8,98,100,0,5.4,0.6,14,8.8,10.2
"PRESTIGE CARE CENTER",602,3,2,0,0,0,0,100,0,0,1.7,2,3,2.3,3.5,3.3,0.5,61.7,63.4,1,4,1.3,122376,40792,2,0.7,23.1,7.5,5.9,2,56.3,55.4,50.3,1.8,2.8,25.6,3.6,3.5,2.5,0.1,22.2,19.4,89.1,85.4,0,27.1,7.6,3.6,28.3,10.7
"PRESTIGE HEALTHCARE ADMINISTRATIVE SERVICES",418,15,3,0,0,1,6.7,100,0,0,3.4,2.9,2.5,4.5,3.7,3.4,0.6,46,44,0.8,17,1.1,746821,49788.07,4,0.3,23.5,8.7,1.1,2.2,65.3,72.4,65.8,1.9,1.2,18.4,2.3,3.4,1,0.4,9,8.9,97,79.7,0,25,4.3,24.5,19.9,11.1
"PRESTON HEALTH SERVICES",702,5,1,0,0,0,0,100,0,0,3.2,3.2,3.4,2.6,3.9,3.1,0.6,48.5,37.5,0,0,0,0,0,0,0,28.7,11.7,2.7,2.4,42.4,94.9,98.7,2.2,1.6,18.5,3,5.2,3.2,1.2,12,9.2,98.9,97.4,0,10.2,4.7,0.2,28.9,11.2
"PRIME HEALTH CARE ENTERPRISES",419,5,1,0,0,0,0,100,0,0,3.8,3.8,3.8,2.2,4.3,3.7,0.6,39.3,28.7,0.2,1,0.2,4558,911.6,0,0,24.7,17.5,1.1,1.3,19.6,68.2,73.8,1.9,2.8,25.6,3.4,6,1.4,1.7,11,13.4,97.8,91,0,9.3,4.9,0.6,20.3,11
"PRIME HEALTHCARE",420,6,3,0,0,1,16.7,100,0,0,3.3,3,3.2,3.6,6.8,6.3,2.2,26.3,16.3,0,9,1.5,280766,46794.33,3,0.5,29.9,14.1,0.9,3.6,35.7,67,48.8,2.1,0.9,10.2,2.4,7.4,3,5.2,14.5,14.3,99.4,92.5,0.2,8.6,4.4,17.1,18.8,12
"PRIME HEALTHCARE MANAGEMENT",421,10,1,0,2,2,20,100,0,0,1.3,2.1,1.4,1.6,3.4,3,0.4,69.1,82,1.2,2,0.2,174821,17482.1,7,0.7,25.3,17.2,1.5,6.1,52.3,60.6,68,2.9,3.4,20.6,6.3,4.9,2.8,2.1,26.3,23.8,88.8,87.5,0.2,18.1,6.9,10.3,24.9,10.7
"PRINCIPLE LONG TERM CARE",423,44,3,0,0,2,4.5,100,0,0,3.1,3,3,3.4,3.6,3.2,0.6,49,41.9,1,37,0.8,1228756,27926.27,7,0.2,23.9,14,1.1,2.6,52,73.1,76.1,1.8,1.9,13.9,3.1,5.5,1.5,0.4,16.8,14.4,93.8,89.4,0,8.2,6.1,2.3,23.4,10.9
"PRIORITY HEALTHCARE GROUP",424,14,4,0,1,1,7.1,100,0,0,2.5,2.6,2.6,3.2,3.1,2.9,0.6,46.9,39.5,0.4,13,0.9,425794,30413.86,3,0.2,21.2,9.4,2,1.7,47.1,62.1,63.7,2,1.4,21.9,3.6,4.5,2.6,0.7,18.3,18.3,96.1,87,0.1,25.4,7.2,3.2,21.8,11
"PRIORITY MANAGEMENT",425,38,2,0,0,5,13.2,78.9,0,21.1,2.7,3.1,1.4,3.4,3.3,2.9,0.3,51.1,44.2,0.3,30,0.8,964589,25383.92,2,0.1,24.3,11.8,1.5,2.6,53.3,96.1,97,2.3,2,11.4,3,4.4,0.1,0.1,14.2,18.1,99.4,99.8,0,13.3,3.3,8.1,18.4,11.2
"PROGRESSIVE HEALTH CARE CENTERS",426,5,1,0,0,0,0,100,0,0,3.8,3.2,2.7,4.6,3.9,3.6,0.3,66.9,75,0.7,1,0.2,37151,7430.2,1,0.2,25,1.8,0.7,0,22.5,97.9,98.6,2.2,1.5,7.9,1.1,6.5,0.8,0.8,8.9,7.4,99.8,100,0,11.5,6.9,0.2,17.3,10.6
"PROGRESSIVE QUALITY CARE",427,11,1,0,0,0,0,100,0,0,2.7,2,2,4.7,3.6,3.2,0.7,55.5,38.1,0.3,10,0.9,223911,20355.55,3,0.3,27.2,12.7,0.3,1.9,70.2,67.5,77.8,1.8,1.9,8.4,3.4,4.6,0.2,0,5.1,4.4,95.6,94.4,0,22,5.9,46.6,23,11.8
"PROMONTORY HEALTHCARE",428,3,2,0,0,0,0,100,0,0,3.3,3,4.3,3.7,5.1,4.6,1.1,55.1,50.6,0.3,0,0,0,0,0,0,21.6,13,0.6,2.8,60.9,92.5,97.1,2.8,2.8,40.9,0,4.2,0,0,21,33.3,"",100,0,32.8,3.6,7.1,16.7,9.2
"PROVIDENCE HEALTH & SERVICES",430,9,3,0,1,1,11.1,11.1,66.7,22.2,2.8,2.6,4,3.7,6.2,5.6,1.8,43.8,46.2,0.5,14,1.6,375003,41667,0,0,26.8,9.1,1.4,2.2,41.7,91.1,85.7,1.6,1.5,11.2,1,7.3,4,2.5,15.3,17.5,98.2,94.9,2.7,12.9,4.3,6.6,20.9,10.5
"PROVIDENCE HEALTH GROUP",431,2,2,0,0,0,0,100,0,0,4,4,3.5,4,3.8,3.2,0.7,39.5,36.1,0,0,0,0,0,0,0,29.8,3.6,0,2.3,55.2,76.2,78.1,2.9,2,15.5,7.9,2.6,1.6,0,14.2,11.4,100,97.7,0,17.5,6.1,1.8,44.2,11.7
PRUITTHEALTH,434,99,4,0,0,4,4,97,1,2,2.8,2.8,2.5,3.7,3.5,2.9,0.6,42.8,40.7,0.6,80,0.8,1533757,15492.49,12,0.1,24.2,11.7,1.8,3,48.9,91.5,91.7,1.9,1.6,16.1,2.7,6,2.1,0.7,11.9,10.6,95.7,96.2,0,12.6,4.8,3.4,18.2,12.4
PUREHEALTH,586,8,2,0,0,2,25,100,0,0,3.3,2.8,3.3,4.6,3.9,3.4,0.8,48.6,47,0.4,7,0.9,227202,28400.25,3,0.4,26.4,9.1,0.7,1.5,60.7,91.2,94.9,3,1,4.2,3.1,6.8,0.7,0.6,12.2,12.1,99.6,99,0,17.8,7.2,2,17.1,10.8
"PURSUE HEALTH",878,7,2,0,0,0,0,100,0,0,2.1,2.1,3.1,3.9,4.4,4.1,0.5,37.2,43,0,13,1.9,642050,91721.43,5,0.7,25.1,14.9,1.2,0.5,45.4,96.3,98.6,2.2,2,7.3,1.9,5.6,0.4,0.8,6.4,5.1,99,99.7,0.6,6.7,4.1,4.9,11,10.9
"QUALITY LIFE SERVICES",436,10,1,0,0,1,10,100,0,0,2.9,2.6,2.3,4.4,3.6,3.3,0.7,54.7,52.3,0.8,5,0.5,444328,44432.8,1,0.1,15.7,15.8,2.5,0.7,55.2,76,80.2,1.1,1.3,23.1,1.9,4,1.5,0.3,13.8,10.7,95.8,93.6,0.1,27.6,6.7,13.9,26.1,10.8
"REAL PROPERTY HEALTH FACILITIES",605,9,3,0,0,0,0,66.7,0,33.3,3.6,3.4,3.7,3.1,3.5,3.2,0.7,41.7,38.9,0.6,0,0,0,0,0,0,20.4,12,1.2,3.1,52.5,80.6,86.3,1.5,2.3,18.5,3.5,5.9,3.5,0.5,17.5,19.8,92.4,95.1,0,14.3,4.7,1.2,20.2,11.1
"RECOVER-CARE HEALTHCARE",438,27,3,0,1,1,3.7,96.3,3.7,0,2.4,2.4,2.3,3.2,3.7,3.3,0.6,56.8,48.4,0.2,57,2.1,895529,33167.74,2,0.1,20.8,12.5,2.7,3.3,47,63.9,67.3,1.8,2,17.5,3.2,4.5,1.7,1.9,19.2,18.8,92.7,88.2,0.1,23.1,5.4,7.6,24.1,10.5
REGALCARE,439,9,1,0,1,1,11.1,100,0,0,1.8,2,2.7,2.1,3.5,3.1,0.6,36.3,46.4,1.1,9,1,566667,62963,0,0,24.8,14,1.7,2.5,46.4,83,75.6,2.1,2,19.9,3.8,4.1,1.5,1.1,23.5,21.9,97.6,95.3,0,22.6,5.7,7.6,15.5,11.7
"REGENCY CARE",440,4,4,0,0,0,0,100,0,0,2.3,2,2.8,3.3,3.8,3.4,0.5,42.3,50.6,1,3,0.8,29672,7418,0,0,25.2,9.9,1.1,1.2,43,79.7,76,1.6,0.9,14,2.7,5.9,1,0.7,25.6,26.2,93.7,90.8,0,24.2,5.4,1.8,18.2,11.4
"REGENCY PACIFIC MANAGEMENT",442,27,3,0,0,3,11.1,100,0,0,4,3.7,3.9,3.7,4.8,4.1,0.9,46.6,41.6,0.1,22,0.8,920000,34074.07,3,0.1,20.5,13.6,1.2,2.9,62,83.8,95.1,1.5,2.5,13.6,3.3,5.1,2.5,1.3,24.8,17.2,94.6,98.6,0.1,19.9,4.5,12.4,13.2,9.9
"REGIONAL HEALTH PROPERTIES",856,5,3,0,1,0,0,100,0,0,1.2,1.6,1.2,1.8,3.2,2.8,0.3,58.7,75,0.5,15,3,455127,91025.4,4,0.8,20.4,12.9,2.5,1.6,43.9,58,62.9,2.4,2,19.6,3.4,4.3,1.9,1.1,30.8,23.9,81.5,92.1,0.1,20,7.8,7.7,21.5,11.2
"REHAB SELECT",444,5,1,0,0,0,0,100,0,0,3.4,3.2,3.8,3.2,4.7,4,0.5,54.3,50.3,0.4,0,0,0,0,0,0,24,15.4,1.1,3.5,48,89.4,96.1,1.8,2.2,17.1,2.5,5.7,1.7,0.8,13.9,12.4,97,99,0.1,5.3,5.5,1,19.8,10.4
